source,name,emotion
crema_d,1003_TAI_DIS_XX.wav,disgust
ravdess,03-01-03-02-01-02-11.wav,happy
meld_part1,dia551_utt3.mp4,happy
ravdess,03-01-07-01-01-02-09.wav,disgust
meld_part1,dia1013_utt2.mp4,neutral
meld_part3,dia182_utt0.mp4,happy
meld_part1,dia782_utt5.mp4,neutral
crema_d,1013_TAI_DIS_XX.wav,disgust
meld_part1,dia293_utt4.mp4,fear
ravdess,03-01-05-01-01-01-23.wav,angry
crema_d,1063_TSI_ANG_XX.wav,angry
meld_part3,dia143_utt3.mp4,sad
crema_d,1036_IWW_HAP_XX.wav,happy
meld_part1,dia909_utt3.mp4,neutral
ravdess,03-01-03-01-02-01-08.wav,happy
ravdess,03-01-06-02-02-02-15.wav,fear
crema_d,1077_IEO_HAP_MD.wav,happy
crema_d,1034_WSI_ANG_XX.wav,angry
meld_part1,dia933_utt12.mp4,angry
crema_d,1090_ITH_SAD_XX.wav,sad
meld_part1,dia26_utt6.mp4,happy
ravdess,03-01-02-01-01-02-13.wav,calm
ravdess,03-01-06-02-01-01-13.wav,fear
meld_part1,dia304_utt1.mp4,neutral
meld_part3,dia154_utt6.mp4,surprise
tess,YAF_met_happy.wav,happy
meld_part1,dia116_utt5.mp4,neutral
meld_part1,dia640_utt15.mp4,happy
crema_d,1012_IOM_HAP_XX.wav,happy
crema_d,1047_IEO_ANG_MD.wav,angry
meld_part1,dia422_utt2.mp4,neutral
crema_d,1053_IWW_NEU_XX.wav,neutral
crema_d,1057_TIE_SAD_XX.wav,sad
crema_d,1026_IOM_FEA_XX.wav,fear
crema_d,1057_DFA_HAP_XX.wav,happy
ravdess,03-01-02-02-02-02-07.wav,calm
crema_d,1089_IOM_DIS_XX.wav,disgust
meld_part1,dia670_utt1.mp4,angry
meld_part1,dia821_utt6.mp4,neutral
crema_d,1027_IOM_DIS_XX.wav,disgust
crema_d,1077_TAI_DIS_XX.wav,disgust
meld_part1,dia404_utt3.mp4,sad
meld_part1,dia337_utt11.mp4,neutral
meld_part1,dia99_utt0.mp4,happy
meld_part1,dia740_utt8.mp4,surprise
crema_d,1029_DFA_HAP_XX.wav,happy
meld_part3,dia108_utt7.mp4,surprise
meld_part1,dia719_utt6.mp4,happy
meld_part2,dia77_utt10.mp4,sad
crema_d,1083_IWL_SAD_XX.wav,sad
meld_part1,dia449_utt11.mp4,happy
ravdess,03-01-08-01-02-02-18.wav,surprise
ravdess,03-01-04-02-02-01-02.wav,sad
tess,OAF_merge_angry.wav,angry
meld_part1,dia190_utt7.mp4,neutral
meld_part3,dia53_utt6.mp4,sad
tess,OAF_shall_sad.wav,sad
meld_part1,dia201_utt0.mp4,neutral
crema_d,1070_IWW_ANG_XX.wav,angry
tess,YAF_long_angry.wav,angry
meld_part3,dia140_utt11.mp4,angry
meld_part1,dia565_utt1.mp4,neutral
crema_d,1004_DFA_HAP_XX.wav,happy
meld_part1,dia317_utt6.mp4,happy
crema_d,1065_TIE_DIS_XX.wav,disgust
meld_part3,dia257_utt0.mp4,neutral
meld_part3,dia12_utt7.mp4,sad
crema_d,1055_IEO_SAD_LO.wav,sad
meld_part3,dia208_utt11.mp4,sad
crema_d,1005_TSI_FEA_XX.wav,fear
ravdess,03-01-02-01-01-01-03.wav,calm
meld_part2,dia72_utt5.mp4,surprise
meld_part1,dia531_utt13.mp4,neutral
meld_part3,dia155_utt5.mp4,sad
crema_d,1044_MTI_FEA_XX.wav,fear
meld_part1,dia219_utt11.mp4,sad
tess,YAF_rose_disgust.wav,disgust
crema_d,1028_TIE_DIS_XX.wav,disgust
meld_part1,dia886_utt6.mp4,neutral
meld_part1,dia250_utt4.mp4,surprise
meld_part1,dia693_utt4.mp4,angry
meld_part3,dia39_utt3.mp4,neutral
meld_part1,dia860_utt14.mp4,happy
meld_part1,dia330_utt0.mp4,neutral
meld_part3,dia202_utt1.mp4,happy
meld_part3,dia260_utt6.mp4,angry
meld_part2,dia5_utt6.mp4,angry
meld_part1,dia615_utt19.mp4,neutral
meld_part3,dia106_utt2.mp4,disgust
meld_part1,dia835_utt0.mp4,sad
meld_part1,dia908_utt12.mp4,happy
meld_part1,dia674_utt8.mp4,neutral
meld_part1,dia260_utt6.mp4,sad
crema_d,1026_TAI_ANG_XX.wav,angry
meld_part3,dia189_utt7.mp4,surprise
crema_d,1016_MTI_NEU_XX.wav,neutral
meld_part1,dia617_utt9.mp4,neutral
