source,name,label,state
crema_d,1003_TAI_DIS_XX,disgust,train
ravdess,03-01-03-02-01-02-11,happy,train
meld_part1,dia551_utt3,happy,train
ravdess,03-01-07-01-01-02-09,disgust,train
meld_part1,dia1013_utt2,neutral,train
meld_part3,dia182_utt0,happy,train
meld_part1,dia782_utt5,neutral,train
crema_d,1013_TAI_DIS_XX,disgust,train
meld_part1,dia293_utt4,fear,train
ravdess,03-01-05-01-01-01-23,angry,train
crema_d,1063_TSI_ANG_XX,angry,train
meld_part3,dia143_utt3,sad,train
crema_d,1036_IWW_HAP_XX,happy,train
meld_part1,dia909_utt3,neutral,train
ravdess,03-01-03-01-02-01-08,happy,train
ravdess,03-01-06-02-02-02-15,fear,train
crema_d,1077_IEO_HAP_MD,happy,train
crema_d,1034_WSI_ANG_XX,angry,train
meld_part1,dia933_utt12,angry,train
crema_d,1090_ITH_SAD_XX,sad,train
meld_part1,dia26_utt6,happy,train
ravdess,03-01-02-01-01-02-13,calm,train
ravdess,03-01-06-02-01-01-13,fear,train
meld_part1,dia304_utt1,neutral,train
meld_part3,dia154_utt6,surprise,train
tess,YAF_met_happy,happy,train
meld_part1,dia116_utt5,neutral,train
meld_part1,dia640_utt15,happy,train
crema_d,1012_IOM_HAP_XX,happy,train
crema_d,1047_IEO_ANG_MD,angry,train
meld_part1,dia422_utt2,neutral,train
crema_d,1053_IWW_NEU_XX,neutral,train
crema_d,1057_TIE_SAD_XX,sad,train
crema_d,1026_IOM_FEA_XX,fear,train
crema_d,1057_DFA_HAP_XX,happy,train
ravdess,03-01-02-02-02-02-07,calm,train
crema_d,1089_IOM_DIS_XX,disgust,train
meld_part1,dia670_utt1,angry,train
meld_part1,dia821_utt6,neutral,train
crema_d,1027_IOM_DIS_XX,disgust,train
crema_d,1077_TAI_DIS_XX,disgust,train
meld_part1,dia404_utt3,sad,train
meld_part1,dia337_utt11,neutral,train
meld_part1,dia99_utt0,happy,train
meld_part1,dia740_utt8,surprise,train
crema_d,1029_DFA_HAP_XX,happy,train
meld_part3,dia108_utt7,surprise,train
meld_part1,dia719_utt6,happy,train
meld_part2,dia77_utt10,sad,train
crema_d,1083_IWL_SAD_XX,sad,train
meld_part1,dia449_utt11,happy,train
ravdess,03-01-08-01-02-02-18,surprise,train
ravdess,03-01-04-02-02-01-02,sad,train
tess,OAF_merge_angry,angry,train
meld_part1,dia190_utt7,neutral,train
meld_part3,dia53_utt6,sad,train
tess,OAF_shall_sad,sad,train
meld_part1,dia201_utt0,neutral,train
crema_d,1070_IWW_ANG_XX,angry,train
tess,YAF_long_angry,angry,train
meld_part3,dia140_utt11,angry,train
meld_part1,dia565_utt1,neutral,train
crema_d,1004_DFA_HAP_XX,happy,train
meld_part1,dia317_utt6,happy,train
crema_d,1065_TIE_DIS_XX,disgust,train
meld_part3,dia257_utt0,neutral,train
meld_part3,dia12_utt7,sad,train
crema_d,1055_IEO_SAD_LO,sad,train
meld_part3,dia208_utt11,sad,train
crema_d,1005_TSI_FEA_XX,fear,train
ravdess,03-01-02-01-01-01-03,calm,train
meld_part2,dia72_utt5,surprise,train
meld_part1,dia531_utt13,neutral,train
meld_part3,dia155_utt5,sad,train
crema_d,1044_MTI_FEA_XX,fear,train
meld_part1,dia219_utt11,sad,train
tess,YAF_rose_disgust,disgust,train
crema_d,1028_TIE_DIS_XX,disgust,train
meld_part1,dia886_utt6,neutral,train
meld_part1,dia250_utt4,surprise,train
meld_part1,dia693_utt4,angry,train
meld_part3,dia39_utt3,neutral,train
meld_part1,dia860_utt14,happy,train
meld_part1,dia330_utt0,neutral,train
meld_part3,dia202_utt1,happy,train
meld_part3,dia260_utt6,angry,train
meld_part2,dia5_utt6,angry,train
meld_part1,dia615_utt19,neutral,train
meld_part3,dia106_utt2,disgust,train
meld_part1,dia835_utt0,sad,train
meld_part1,dia908_utt12,happy,train
meld_part1,dia674_utt8,neutral,train
meld_part1,dia260_utt6,sad,train
crema_d,1026_TAI_ANG_XX,angry,train
meld_part3,dia189_utt7,surprise,train
crema_d,1016_MTI_NEU_XX,neutral,train
meld_part1,dia617_utt9,neutral,train
crema_d,1005_TAI_SAD_XX,sad,train
meld_part2,dia90_utt0,happy,train
crema_d,1055_TSI_SAD_XX,sad,train
crema_d,1042_TIE_NEU_XX,neutral,train
crema_d,1055_WSI_FEA_XX,fear,train
meld_part1,dia923_utt4,sad,train
meld_part1,dia673_utt20,fear,train
